Ticker,Date,Period,Actual,Estimate
SYF,2019-04-18,Q1 19 ,1,0.891
SYK,2019-04-23,Q1 19 ,1.88,1.839
SYY,2019-05-06,Q3 19 ,0.79,0.702
T,2019-04-24,Q1 19 ,0.86,0.858
TAP,2019-05-01,Q1 19 ,0.52,0.576
TDG,2019-05-07,Q2 19 ,4.21,3.956
TEL,2019-04-24,Q2 19 ,1.42,1.283
TFX,2019-05-02,Q1 19 ,2.24,2.126
TGT,2019-05-22,Q1 20 ,1.53,1.435
TIF,2019-06-04,Q1 20 ,1.03,1.015
TJX,2019-05-21,Q1 20 ,0.57,0.547
TMO,2019-04-24,Q1 19 ,2.81,2.73
TMUS,2019-04-25,Q1 19 ,1.06,0.92
TPR,2019-05-09,Q3 19 ,0.42,0.411
TRIP,2019-05-07,Q1 19 ,0.36,0.315
TROW,2019-04-24,Q1 19 ,1.87,1.683
TRV,2019-04-18,Q1 19 ,2.83,2.738
TSCO,2019-04-25,Q1 19 ,0.63,0.554
TSN,2019-05-06,Q2 19 ,1.2,1.128
TTWO,2019-05-13,Q4 19 ,0.78,0.738
TWTR,2019-04-23,Q1 19 ,0.37,0.147
TXN,2019-04-23,Q1 19 ,1.26,1.128
TXT,2019-04-17,Q1 19 ,0.76,0.683
UAA,2019-05-02,Q1 19 ,0.05,-0.001
UAL,2019-04-16,Q1 19 ,1.15,0.952
UDR,2019-04-30,Q1 19 ,0.5,0.503
UHS,2019-04-25,Q1 19 ,2.45,2.605
ULTA,2019-05-30,Q1 20 ,3.26,3.06
UNH,2019-04-16,Q1 19 ,3.73,3.599
UNM,2019-04-30,Q1 19 ,1.31,1.313
UNP,2019-04-18,Q1 19 ,1.93,1.877
UPS,2019-04-25,Q1 19 ,1.39,1.415
URI,2019-04-17,Q1 19 ,3.31,3.027
USB,2019-04-17,Q1 19 ,1,1.001
UTX,2019-04-23,Q1 19 ,1.91,1.711
V,2019-04-24,Q2 19 ,1.31,1.241
VAR,2019-04-24,Q2 19 ,1.05,1.148
VFC,2019-05-22,Q4 19 ,0.6,0.576
VIAB,2019-05-10,Q2 19 ,0.95,0.804
VLO,2019-04-25,Q1 19 ,0.34,0.232
VMC,2019-05-02,Q1 19 ,0.46,0.363
VNO,2019-04-29,Q1 19 ,1.3,1.34
VRSK,2019-04-30,Q1 19 ,1.03,1.034
VRSN,2019-04-25,Q1 19 ,1.31,1.25
VRTX,2019-04-30,Q1 19 ,1.14,1.005
VTR,2019-04-26,Q1 19 ,0.99,0.956
VZ,2019-04-23,Q1 19 ,1.2,1.167
WAB,2019-04-25,Q1 19 ,1.06,0.843
WAT,2019-04-23,Q1 19 ,1.6,1.724
WBA,2019-04-02,Q2 19 ,1.64,1.719
WCG,2019-04-30,Q1 19 ,3.69,3.062
WDC,2019-04-29,Q3 19 ,0.17,0.445
WEC,2019-04-25,Q1 19 ,1.33,1.255
WELL,2019-04-30,Q1 19 ,1.02,1.019
WFC,2019-04-12,Q1 19 ,1.01,1.092
WHR,2019-04-22,Q1 19 ,3.11,2.864
WLTW,2019-05-01,Q1 19 ,2.98,3.024
WM,2019-04-25,Q1 19 ,0.94,0.918
WMB,2019-05-01,Q1 19 ,0.22,0.227
WMT,2019-05-16,Q1 20 ,1.13,1.02
WRK,2019-04-30,Q2 19 ,0.8,0.606
WU,2019-05-07,Q1 19 ,0.39,0.428
WY,2019-04-26,Q1 19 ,0.11,0.092
WYNN,2019-05-09,Q1 19 ,1.61,1.583
XEC,2019-05-08,Q1 19 ,1.2,1.352
XEL,2019-04-25,Q1 19 ,0.61,0.615
XLNX,2019-04-24,Q4 19 ,0.95,0.935
XOM,2019-04-26,Q1 19 ,0.55,0.716
XRAY,2019-05-03,Q1 19 ,0.49,0.386
XRX,2019-04-25,Q1 19 ,0.91,0.8
XYL,2019-05-02,Q1 19 ,0.52,0.564
YUM,2019-05-01,Q1 19 ,0.82,0.813
ZBH,2019-04-26,Q1 19 ,1.87,1.863
ZION,2019-04-22,Q1 19 ,1.04,1.048
ZTS,2019-05-02,Q1 19 ,0.88,0.788
